" is out of stock!"," is out of stock!"
"404 Page Not Found","404 Page Not Found"
"Account data has successfully been updated","Account data has successfully been updated"
"Add review","Add review"
"Adding a review ...","Adding a review ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled."
"Allow notification about the order","Allow notification about the order"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Checkout","Checkout"
"Columns","Columns"
"Language","Language"
"Compare Products","Compare Products"
"Compare products","Compare products"
"Confirm your order","Confirm your order"
"Error refreshing user token. User is not authorized to access the resource","Error refreshing user token. User is not authorized to access the resource"
"Error with response - bad content-type!","Error with response - bad content-type!"
"Error: Error while adding products","Error: Error while adding products"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Field is required","Field is required"
"Field is required.","Field is required."
"Grand total","Grand total"
"Home Page","Home Page"
"In stock!","In stock!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Internal Application error while refreshing the tokens. Please clear the storage and refresh page."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Internal validation error. Please check if all required fields are filled in. Please contact us on {email}"
"Must be greater than 0","Must be greater than 0"
"My Account","My Account"
"Newsletter preferences have successfully been updated","Newsletter preferences have successfully been updated"
"No available product variants","No available product variants"
"No products synchronized for this category. Please come back while online!","No products synchronized for this category. Please come back while online!"
"No such configuration for the product. Please do choose another combination of attributes.","No such configuration for the product. Please do choose another combination of attributes."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Or if you will stay on "Order confirmation" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Or if you will stay on "Order confirmation" page, the order will be placed automatically without confirmation, once the internet connection will be back."
"Out of stock!","Out of stock!"
"Out of the stock!","Out of the stock!"
"Payment Information","Payment Information"
"Please configure product bundle options and fix the validation errors","Please configure product bundle options and fix the validation errors"
"Please configure product custom options and fix the validation errors","Please configure product custom options and fix the validation errors"
"Please confirm order you placed when you was offline","Please confirm order you placed when you was offline"
